"V1","V2","V3","V4","V5"
84.5253406762927,86.0146253241804,38.0309488632327,86.4989945099905,79.2755850271298
67.23425678851,29.8518715556107,54.8191875952249,70.9992058661013,62.4733054903366
81.5512866508799,31.3783846003028,48.6852079407152,78.0503836609962,73.0537885058561
49.6850872730496,66.3503816062195,87.997092014543,54.230198144887,63.0678096769296
31.2113319600196,42.0523667288279,55.2782473510142,77.7111658845843,68.065870222045
55.2592223658596,60.1686036396723,65.7351587800337,67.6497431471201,57.8033826985943
63.4758593181714,64.4613535278475,46.3886896257926,61.9751003064067,55.6859424984702
55.4821948469212,51.2470196954564,60.3587207483136,50.478636499421,48.0052227764946
72.6667101214005,72.5066787987665,53.5071045220888,75.9320508459952,69.39580568562
61.4535602326964,61.6831975720811,52.2265477322158,65.7649237982533,59.0072950838803
75.5145993898222,31.676451085493,51.4562219459007,37.1374753946112,70.0164174192809
77.7029995651745,37.0505886835965,61.6825760820265,56.4719989358863,51.7623852785266
72.1998367906871,76.0334275446747,47.4814010306767,80.2754949416809,68.1018408668807
82.0515821702899,81.8247112875489,43.3562713712384,74.4456190002172,78.0835166729788
62.3055074692132,42.6641745040588,92.73530174829,52.598552579999,61.4616314693515
32.5022372512425,36.5317374143964,51.3466123275929,67.4077271554438,59.1868331978978
57.0149661581947,62.822239467175,61.1875809524023,39.1621338232214,60.6840826929136
63.2362280364277,71.1366764918069,67.467335280157,64.605761064201,56.4292846937218
34.5371940837633,33.481181350054,56.0316149708235,54.029186901773,27.2026489349345
55.8896011170369,58.0730126761372,51.8834100839912,64.9458181790096,51.7347074221538
