"V1","V2","V3","V4","V5"
380,375,24,79,378
217,378,3,65,378
375,27,36,114,379
53,380,379,76,372
377,57,379,87,379
74,373,376,88,377
377,72,31,78,80
379,59,106,362,375
164,374,3,379,378
372,377,377,115,375
379,377,46,64,380
53,232,38,8,32
372,379,34,71,377
378,379,379,377,379
52,49,87,80,377
372,53,43,377,376
28,378,9,68,88
377,44,39,254,375
28,377,38,378,367
375,379,378,368,373
