"V1","V2","V3","V4","V5"
69,71,71,66,72
72,11,56,3,10
1,1,9,7,1
74,70,20,71,42
5,76,1,7,7
72,71,2,52,74
58,6,72,69,74
73,74,15,71,70
26,6,1,1,12
47,70,19,68,42
4,18,77,16,18
18,2,4,73,58
71,72,4,67,71
1,68,28,70,1
70,22,2,70,74
75,71,73,71,29
4,57,1,58,5
30,14,11,15,74
19,6,73,71,7
70,37,72,69,13
