"V1","V2","V3","V4","V5"
1,0,8,0,5
4,12,11,14,13
20,20,13,13,20
5,5,9,2,10
13,0,19,13,11
5,4,20,10,7
10,10,7,0,0
5,8,14,7,4
13,14,20,20,13
10,0,12,5,10
15,12,7,14,14
14,16,18,9,13
5,2,13,2,5
19,0,13,7,19
3,11,15,3,6
11,7,10,1,11
19,11,20,13,16
14,17,18,17,10
13,13,7,3,14
7,11,6,6,8
